Año,Trimestre,Ingreso promedio por Acceso (miles de dólares),Ingreso anterior,Variación (%)
2014,2,0.06281264505610777,0.06131425220199344,2.443792104286014
2014,3,0.06357016871573186,0.06281264505610777,1.206005031228067
2014,4,0.07031383458362073,0.06357016871573186,10.608223958071699
2015,1,0.08330241322261955,0.07031383458362073,18.47229455755561
2015,2,0.07706917837450245,0.08330241322261955,-7.482658193177727
2015,3,0.08036059829899794,0.07706917837450245,4.270734415386515
2015,4,0.07566819923517679,0.08036059829899794,-5.839178855242133
2016,1,0.05955822972766859,0.07566819923517679,-21.29027738249513
2016,2,0.06445834054483568,0.05955822972766859,8.227428584719462
2016,3,0.06417782905172698,0.06445834054483568,-0.4351826167687124
2016,4,0.06676458197900391,0.06417782905172698,4.030602102779178
2017,1,0.07601280431190989,0.06676458197900391,13.851988672398724
2017,2,0.08292744808966603,0.07601280431190989,9.096682908030445
2017,3,0.07545599182358799,0.08292744808966603,-9.009630029853879
2017,4,0.08123490307350371,0.07545599182358799,7.658651235314096
2018,1,0.08320649174001171,0.08123490307350371,2.4270216272973784
2018,2,0.0751899638784324,0.08320649174001171,-9.634498094965815
2018,3,0.057764598766050806,0.0751899638784324,-23.175121004918992
2018,4,0.05292684154619766,0.057764598766050806,-8.37495165411999
2019,1,0.05991900238729745,0.05292684154619766,13.210992072891074
2019,2,0.05269324167971483,0.05991900238729745,-12.059213971683965
2019,3,0.046845505325745516,0.05269324167971483,-11.097697100348446
2019,4,0.04629703834936264,0.046845505325745516,-1.1707995731267016
2020,1,0.05522775497207651,0.04629703834936264,19.290038717642545
2020,2,0.05254966755656632,0.05522775497207651,-4.8491694382005
2020,3,0.04668943692078304,0.05254966755656632,-11.151793928049347
2020,4,0.043786608331654465,0.04668943692078304,-6.217313338033487
2021,1,0.0429304186709741,0.043786608331654465,-1.9553687606843104
2021,2,0.04123246457143894,0.0429304186709741,-3.955130539370145
2021,3,0.0438576338828842,0.04123246457143894,6.366753330732683
2021,4,0.043139802256760715,0.0438576338828842,-1.6367313112247674
2022,1,0.048773317546603384,0.043139802256760715,13.058741568431287
2022,2,0.0467740445489834,0.048773317546603384,-4.099112174827267
2022,3,0.042639754072559585,0.0467740445489834,-8.838856071328712
2022,4,0.039848173929976215,0.042639754072559585,-6.546895504680844
2023,1,0.0481582192960546,0.039848173929976215,20.854268957672524
2023,2,0.045277658807574506,0.0481582192960546,-5.9814514128351215
2023,3,0.037382787813816425,0.045277658807574506,-17.43657070987369
2023,4,0.032443854220679094,0.037382787813816425,-13.211785107455079
2024,1,0.03566970455304038,0.032443854220679094,9.942870259555017
2024,2,0.044243967357214684,0.03566970455304038,24.03794175369321
